450,250,910,250,2,
910,250,910,520,2,
910,520,450,520,2,
450,520,450,250,2,
550,290,600,320,1,
600,320,550,340,1,
550,340,550,290,1,
750,410,710,470,3,
710,470,810,470,3,
810,470,750,410,3,
640,390,580,470,4,
640,390,670,470,5,
730,300,700,330,4,
700,330,730,360,4,
730,360,760,330,4,
760,330,730,300,4,
710,310,750,310,5,
750,310,750,340,5,
750,330,750,350,5,
710,350,750,350,5,
710,350,710,310,5,
490,410,500,410,1,
500,410,510,410,2,
510,410,520,410,3,
520,410,530,410,4,
530,410,540,410,5,
470,330,510,360,2,
470,310,500,340,3,
